time,x,y,z,yaw,setpoint_x,setpoint_y,setpoint_z,setpoint_yaw,setpoint_speed,current_speed,mode,distance_to_target,light_intensity,gradient_angle,gradient_magnitude
0.064,-3.611732,-1.301143,0.409997,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,FORWARD,11.027,32.2,-1000.0,0.0000
0.096,-3.611732,-1.301143,0.413345,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,FORWARD,11.027,32.2,-1000.0,0.0000
0.128,-3.611732,-1.301143,0.417982,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,FORWARD,11.027,32.2,-1000.0,0.0000
0.160,-3.611732,-1.301143,0.423909,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,FORWARD,11.027,32.2,-1000.0,0.0000
0.192,-3.611732,-1.301143,0.431087,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,FORWARD,11.027,32.2,-1000.0,0.0000
0.224,-3.611732,-1.301143,0.439476,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,FORWARD,11.027,32.2,-1000.0,0.0000
0.256,-3.611732,-1.301143,0.449040,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,FORWARD,11.027,32.2,-1000.0,0.0000
0.288,-3.611732,-1.301143,0.459741,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,FORWARD,11.027,32.3,-1000.0,0.0000
0.320,-3.611732,-1.301143,0.471545,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,FORWARD,11.027,32.3,-1000.0,0.0000
0.352,-3.611732,-1.301143,0.484415,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,FORWARD,11.027,32.3,-1000.0,0.0000
0.384,-3.611732,-1.301143,0.498319,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,FORWARD,11.027,32.3,-1000.0,0.0000
0.416,-3.611732,-1.301143,0.513222,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,FORWARD,11.027,32.3,-1000.0,0.0000
0.448,-3.611732,-1.301143,0.529095,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,FORWARD,11.027,32.3,-1000.0,0.0000
0.480,-3.611732,-1.301143,0.545904,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,FORWARD,11.027,32.3,-1000.0,0.0000
0.512,-3.611732,-1.301143,0.563619,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,FORWARD,11.027,32.4,-1000.0,0.0000
0.544,-3.611732,-1.301143,0.582212,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,FORWARD,11.027,32.4,-1000.0,0.0000
0.576,-3.611732,-1.301143,0.601654,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,FORWARD,11.027,32.4,-1000.0,0.0000
0.608,-3.611732,-1.301143,0.621917,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,FORWARD,11.027,32.4,-1000.0,0.0000
0.640,-3.611732,-1.301143,0.642974,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,FORWARD,11.027,32.4,-1000.0,0.0000
0.672,-3.611732,-1.301143,0.664655,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,FORWARD,11.027,32.5,-1000.0,0.0000
0.704,-3.611732,-1.301143,0.686825,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,FORWARD,11.027,32.5,-1000.0,0.0000
0.736,-3.611732,-1.301143,0.709387,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,FORWARD,11.027,32.5,-1000.0,0.0000
0.768,-3.611732,-1.301143,0.732258,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,FORWARD,11.027,32.5,-1000.0,0.0000
0.800,-3.611732,-1.301143,0.755364,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,FORWARD,11.027,32.5,-1000.0,0.0000
0.832,-3.611732,-1.301143,0.778644,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,FORWARD,11.027,32.6,-1000.0,0.0000
0.864,-3.611732,-1.301143,0.802043,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,FORWARD,11.027,32.6,-1000.0,0.0000
0.896,-3.611732,-1.301143,0.825514,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,FORWARD,11.027,32.6,-1000.0,0.0000
0.928,-3.611732,-1.301143,0.849016,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,FORWARD,11.027,32.6,-1000.0,0.0000
0.960,-3.611732,-1.301143,0.872513,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,FORWARD,11.027,32.6,-1000.0,0.0000
0.992,-3.611732,-1.301143,0.895972,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,FORWARD,11.027,32.7,-1000.0,0.0000
1.024,-3.611732,-1.301143,0.919367,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,FORWARD,11.027,32.7,-1000.0,0.0000
1.056,-3.611732,-1.301143,0.942672,-0.000000,-3.611732,-1.301143,2.000000,-0.000000,0.000,0.000,FORWARD,11.027,32.7,-1000.0,0.0000
1.088,-3.611732,-1.301143,0.965868,-0.000000,-3.611732,-1.301143,2.000000,-0.000000,0.000,0.000,FORWARD,11.027,32.7,-1000.0,0.0000
1.120,-3.611732,-1.301143,0.988934,-0.000000,-3.611732,-1.301143,2.000000,-0.000000,0.000,0.000,FORWARD,11.027,32.7,-1000.0,0.0000
1.152,-3.611732,-1.301143,1.011856,-0.000000,-3.611732,-1.301143,2.000000,-0.000000,0.000,0.000,FORWARD,11.027,32.7,-1000.0,0.0000
1.184,-3.611732,-1.301143,1.034617,-0.000000,-3.611732,-1.301143,2.000000,-0.000000,0.000,0.000,FORWARD,11.027,32.8,-1000.0,0.0000
1.216,-3.611732,-1.301143,1.057207,-0.000000,-3.611732,-1.301143,2.000000,-0.000000,0.000,0.000,FORWARD,11.027,32.8,-1000.0,0.0000
1.248,-3.611732,-1.301143,1.079613,-0.000000,-3.611732,-1.301143,2.000000,-0.000000,0.000,0.000,FORWARD,11.027,32.8,-1000.0,0.0000
1.280,-3.611732,-1.301143,1.101826,-0.000000,-3.611732,-1.301143,2.000000,-0.000000,0.000,0.000,FORWARD,11.027,32.8,-1000.0,0.0000
1.312,-3.611732,-1.301143,1.123839,-0.000000,-3.611732,-1.301143,2.000000,-0.000000,0.000,0.000,FORWARD,11.027,32.8,-1000.0,0.0000
1.344,-3.611732,-1.301143,1.145645,-0.000000,-3.611732,-1.301143,2.000000,-0.000000,0.000,0.000,FORWARD,11.027,32.8,-1000.0,0.0000
1.376,-3.611732,-1.301143,1.167237,-0.000000,-3.611732,-1.301143,2.000000,-0.000000,0.000,0.000,FORWARD,11.027,32.8,-1000.0,0.0000
1.408,-3.611732,-1.301143,1.188617,-0.000000,-3.611732,-1.301143,2.000000,-0.000000,0.000,0.000,FORWARD,11.027,32.9,-1000.0,0.0000
1.440,-3.611732,-1.301143,1.209788,-0.000000,-3.611732,-1.301143,2.000000,-0.000000,0.000,0.000,FORWARD,11.027,32.9,-1000.0,0.0000
1.472,-3.611732,-1.301143,1.230752,-0.000000,-3.611732,-1.301143,2.000000,-0.000000,0.000,0.000,FORWARD,11.027,32.9,-1000.0,0.0000
1.504,-3.611732,-1.301143,1.251511,-0.000000,-3.611732,-1.301143,2.000000,-0.000000,0.000,0.000,FORWARD,11.027,32.9,-1000.0,0.0000
1.536,-3.611732,-1.301143,1.272069,-0.000000,-3.611732,-1.301143,2.000000,-0.000000,0.000,0.000,FORWARD,11.027,32.9,-1000.0,0.0000
1.568,-3.611732,-1.301143,1.292426,-0.000000,-3.611732,-1.301143,2.000000,-0.000000,0.000,0.000,FORWARD,11.027,32.9,-1000.0,0.0000
1.600,-3.611732,-1.301143,1.312585,-0.000000,-3.611732,-1.301143,2.000000,-0.000000,0.000,0.000,FORWARD,11.027,32.9,-1000.0,0.0000
1.632,-3.611732,-1.301143,1.332548,-0.000000,-3.611732,-1.301143,2.000000,-0.000000,0.000,0.000,FORWARD,11.027,32.9,-1000.0,0.0000
1.664,-3.611732,-1.301143,1.352317,-0.000000,-3.611732,-1.301143,2.000000,-0.000000,0.000,0.000,FORWARD,11.027,32.9,-1000.0,0.0000
1.696,-3.611732,-1.301143,1.371894,-0.000000,-3.611732,-1.301143,2.000000,-0.000000,0.000,0.000,FORWARD,11.027,32.9,-1000.0,0.0000
1.728,-3.611732,-1.301143,1.391281,-0.000000,-3.611732,-1.301143,2.000000,-0.000000,0.000,0.000,FORWARD,11.027,32.9,-1000.0,0.0000
1.760,-3.611732,-1.301143,1.410481,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,FORWARD,11.027,33.0,-1000.0,0.0000
1.792,-3.611732,-1.301143,1.429494,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,FORWARD,11.027,33.0,-1000.0,0.0000
1.824,-3.611732,-1.301143,1.448323,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,FORWARD,11.027,33.0,-1000.0,0.0000
1.856,-3.611732,-1.301143,1.466970,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,FORWARD,11.027,33.0,-1000.0,0.0000
1.888,-3.606932,-1.301143,1.485437,0.000000,-3.606932,-1.301143,2.000000,0.004800,0.150,0.000,EXPLORING,11.027,33.0,-1000.0,0.0000
1.920,-3.602132,-1.301140,1.503701,0.000742,-3.602132,-1.301140,2.000000,0.009600,0.150,0.006,EXPLORING,11.023,33.0,-1000.0,0.0000
1.952,-3.597332,-1.301132,1.521785,0.001667,-3.597332,-1.301132,2.000000,0.014400,0.150,0.007,EXPLORING,11.019,33.0,-1000.0,0.0000
1.984,-3.592532,-1.301118,1.539687,0.002927,-3.592532,-1.301118,2.000000,0.019200,0.150,0.009,EXPLORING,11.015,33.1,-1000.0,0.0000
2.016,-3.587732,-1.301096,1.557410,0.004451,-3.587732,-1.301096,2.000000,0.024000,0.150,0.011,EXPLORING,11.011,33.1,-1000.0,0.0000
2.048,-3.582933,-1.301066,1.574957,0.006240,-3.582933,-1.301066,2.000000,0.028800,0.150,0.012,EXPLORING,11.007,33.2,-1000.0,0.0000
2.080,-3.578133,-1.301027,1.592332,0.008271,-3.578133,-1.301027,2.000000,0.033600,0.150,0.014,EXPLORING,11.003,33.2,-1000.0,0.0000
2.112,-3.573333,-1.300976,1.609537,0.010533,-3.573333,-1.300976,2.000000,0.038400,0.150,0.016,EXPLORING,11.000,33.3,-1000.0,0.0000
2.144,-3.568533,-1.300914,1.626575,0.013010,-3.568533,-1.300914,2.000000,0.043200,0.150,0.017,EXPLORING,10.996,33.4,-1000.0,0.0000
2.176,-3.563734,-1.300838,1.643449,0.015688,-3.563734,-1.300838,2.000000,0.048000,0.150,0.019,EXPLORING,10.992,33.4,-1000.0,0.0000
2.208,-3.558935,-1.300749,1.660161,0.018556,-3.558935,-1.300749,2.000000,0.052800,0.150,0.021,EXPLORING,10.988,33.5,-1000.0,0.0000
