time,x,y,z,yaw,setpoint_x,setpoint_y,setpoint_z,setpoint_yaw,setpoint_speed,current_speed,mode
0.064,-3.612,-1.301,0.410,0.000,-3.612,-1.301,10.000,1.467,0.200,0.000,CIRCLE
0.096,-3.612,-1.301,0.412,0.001,-3.612,-1.301,10.000,2.200,0.200,0.007,CIRCLE
0.128,-3.611,-1.301,0.416,0.003,-3.612,-1.301,10.000,2.934,0.200,0.009,CIRCLE
0.160,-3.611,-1.301,0.421,0.005,-3.612,-1.301,10.000,3.667,0.200,0.013,CIRCLE
0.192,-3.610,-1.301,0.427,0.008,-3.612,-1.301,10.000,4.400,0.200,0.016,CIRCLE
0.224,-3.610,-1.301,0.435,0.011,-3.612,-1.301,10.000,5.134,0.200,0.019,CIRCLE
0.256,-3.609,-1.302,0.443,0.015,-3.612,-1.301,10.000,5.867,0.200,0.023,CIRCLE
0.288,-3.608,-1.302,0.453,0.019,-3.612,-1.301,10.000,6.600,0.200,0.026,CIRCLE
0.320,-3.607,-1.302,0.464,0.024,-3.612,-1.301,10.000,7.334,0.200,0.029,CIRCLE
0.352,-3.606,-1.302,0.477,0.030,-3.612,-1.301,10.000,8.067,0.200,0.032,CIRCLE
0.384,-3.605,-1.302,0.490,0.036,-3.612,-1.301,10.000,8.801,0.200,0.036,CIRCLE
0.416,-3.604,-1.302,0.504,0.043,-3.612,-1.301,10.000,9.534,0.200,0.039,CIRCLE
0.448,-3.602,-1.303,0.519,0.050,-3.612,-1.301,10.000,10.267,0.200,0.042,CIRCLE
0.480,-3.601,-1.303,0.536,0.057,-3.612,-1.301,10.000,11.001,0.200,0.045,CIRCLE
0.512,-3.599,-1.303,0.553,0.065,-3.612,-1.301,10.000,11.734,0.200,0.048,CIRCLE
0.544,-3.598,-1.303,0.571,0.074,-3.612,-1.301,10.000,12.468,0.200,0.051,CIRCLE
0.576,-3.596,-1.303,0.590,0.082,-3.612,-1.301,10.000,13.201,0.200,0.053,CIRCLE
0.608,-3.594,-1.304,0.610,0.091,-3.612,-1.301,10.000,13.934,0.200,0.056,CIRCLE
0.640,-3.592,-1.304,0.630,0.101,-3.612,-1.301,10.000,14.668,0.200,0.058,CIRCLE
0.672,-3.590,-1.304,0.652,0.111,-3.612,-1.301,10.000,15.401,0.200,0.060,CIRCLE
0.704,-3.588,-1.304,0.674,0.121,-3.612,-1.301,10.000,16.135,0.200,0.063,CIRCLE
0.736,-3.586,-1.305,0.697,0.131,-3.612,-1.301,10.000,16.868,0.200,0.065,CIRCLE
0.768,-3.584,-1.305,0.721,0.142,-3.612,-1.301,10.000,17.601,0.200,0.067,CIRCLE
